,Song,Artist,Scene Description
0,What I Love About Your Love,Jana Kramer,Chris listens to a cut of Alex's new song; Chris listens to the new cut of the song he produced during the night.
1,Sunday Mornings,Casey Hurt,Alex wakes Chase up; Chase tries to have sex with her but she's too caught up on Chris' comments on her song.
2,Sleeper,Branches,Alex leaves Chris (and Chase); Clay goes to bed while Quinn watches movies & plays Angry Birds; Haley checks on the house & gets a call from Nate.
3,Always,Blind Pilot,Clay goes to the doctor; Davis & Jude are about to get baptized.
4,Holy Moly,Cathy Davey,Nathan calls Haley; Clay is lying on the merry-go-round.
5,Traffic Lights,Emile Millar,Haley goes into Karens cafe to find the front door open but no one inside; Quinn goes to see Clay at the merry-go-round; Chase & Alex wake up.
6,"Heavy Heart, Heavy Hands",Sunday Lane,Brooke is driving with Davis & Jude while comparing her high school life & her life now; Julian feeds one of the twins.
7,Loaded Gun,Tyler Hilton,Chris sings the song while playing it on guitar; Chase tells him to stop making his comments about Alex's song; Julian gets a call after the baptism.
8,New York,Blind Pilot,The end montage.
9,Lines,Pink Moth,Haley sees Chris Keller.
10,The Sun,The Naked and Famous,The beginning montage. Scenes that willl be shown in the final season. Nathan narrates during the beginning of the episode.
11,Reckless One,Sunday Lane,After Davis & Jude's baptism; Haley sees that Dan has returned while at the church where he asks her for help.
12,Real,Amy May,Chase asks Alex to move in with him.
13,Real (Remastered),Amy May,Chase asks Alex to move in with him. Brooke and Julian talk while playing with their kids.
14,Fall (feat. Megan Washington),Lanu,Mouth & Millicent cook on their show; Brooke & Julian talk about her mom.
15,Box of Stones,Benjamin Francis Leftwich,"Brooke & her dad talk; Clay talks to Nate, Quinn & Jamie about his health; Nate tells Haley he has to go to Europe."
16,Following Footsteps,Greg Holden,Alex & Julian talk about their past lives and current lives; Millicent asks Mouth if he wants to spend time with her.
17,I Can See You Shine (feat. James Walsh),Gabe Dixon,Clay & Quinn sit by the pool and talk.
18,Kicking My Heels,Tyler Hilton,End of the episode: Alex is in the loft; Chris is singing in the studio & Alex tells him she wants to go on the tour; Clay is at the pharmacy; Nate says goodbye to everyone.
19,Sad,Daphne Willis,Clay & Quinn are at the doctor.
20,We're Gonna Make It,Michael May,Chris and Chuck sing together at the studio.
21,What I Love About Your Love,Jana Kramer,Alex & Chris are in the studio listening to cuts of the song.
22,Where You Are,The Submarines,Beginning of the episode.
23,You and Me,Ben Rector,Haley is setting up for breakfast.
24,Yours and Mine,Brooke Annibale,Dan talks to Haley; Brooke talks to her dad; Julian goes to the liqueur store; Quinn confronts Clay about buying drugs and his medication.
25,Colors,April Smith and the Great Picture Show,Chris tries to cook; Brooke arrives at the golf course; Millicent tells Mouth he's fat.
26,If I Wanted Someone,Dawes,Beginning of the episode.
27,Airhead (There's the Moment),Right The Stars,Brooke talks to her mom about her dad.
28,Imposter,Jocelyn Alice,Chris interviews girls to intern at the studio.
29,Great Move North,Faces On Film,Chris meets Quinn at the Karen's cafe and they talk about Clay; Mouth thinks the drier has shrunk his clothes; Brooke gets to the cafe; Chase talks to Chris about the tour & Chris taks to Chuck
30,It's Alright,Waterdeep,Dan talks about cheeseburgers; Brooke talks to her mom about her day with her dad.
31,Unless I'm Led,Mates of State,Haley finds Dan cooking for the customers; Quinn taks to Clay;Brooke talks about the twins to her dad's friends.
32,Dancing On A Comet's Tail,Dazzler,Julian dances.
33,Bubble Shaker,Tarik NuClothes,Chase & Chris are at a strip club.
34,Be No Lie,The Wooden Birds,Quinn spies on Clay; the customers confront Haley about Dan working and cooking their food.
35,Bunz Of Steel,Extreme Music,"Chris uses Chase's story & talks to a stripper, then talks to him about Alex."
36,Electrik Laserland,Extreme Music,Chase & Chris talk at the bar.
37,Tamer Animals,Other Lives,End of the episode.
38,"Bubble Shaker (Explicit, Single)",Tarik NuClothes,Add scene description
39,No Such Thing As Time,Elenowen,Chris interogates Chase about his one night stand at the bar in front of Tara; Haley talks to Julian at the cafe.
40,Bring You Home,Peter Bradley Adams,"Julian, Chase, Clay & Mouth talk about their problems with each other at the bar; Haley & Jamie talk in his room."
41,Clouds and a Bee,Goddamn Electric Bill,Julian arrives back home & sees Brooke with Davis and tries to apologize to her; Clay & Quinn fight.
42,Carry Me,Justine Bennett,End of the episode: Chase & Tara talk; Clay & Quinn talk before her gets admitted; Haley & Dan talk before Nathan returns; Julian & Brooke talk in the car; Haley tries to call Nathan.
43,Lioness,Calhoun,Julian goes to get get his car from the repair shop only to break the window again; Dan & Clay fight at the beach.
44,Monday Morning,Death Cab for Cutie,Brooke & Haley go to the Tree Hill Cafe to ask them to take their sign down; Chase talks to Chris about his one night stand only to find out she's Chris' girlfriend.
45,St. Christopher (On My Way),Michael Logen,Beginning of the episode: Brooke & Julian are at the the hospital; Quinn looks for Clay; Haley sees the rival cafe's sign; Jamie & Dan roast marshmallows.
46,Trouble,One Two,Chase wakes up and sees Tara after sleeping together; Skills returns.
47,Midnight Starlight,Jason Walker,Quinn & Dan talk while Jamie plays in the pool; Chris talks to Chase at the bar; Julian visits Brooke at the café.
48,Where I Can't Follow,Amy Kuney,Beginning of the episode: Haley tries calling Nathan & talks to Dan; Brooke talks to Julian; Chase & Tara get woken up by Chuck.
49,Litost,Ambassadors,Clay finds out he has Fugue disorder; Julian gets the twins ready in the car & tries to prepare himself; Quinn & Haley talk about Nathan.
50,I Can See the Light,Right The Stars,Chase & Chuck visit Chris at the studio before Tara arrives.
51,Thorn Castles,Gardens & Villa,Brooke serves Millie at the café when Tara tries to make ammends.
52,Greenleaf,Generationals,Millie tries to teach Brooke how to make a latte while they talk about Mouth & Tara.
53,Free My Mind,Katie Herzig,Brooke and Millie confront Tara for bringing them roaches hidden in a plant to Karen's Cafe.
54,Mothers,S. Carey,Chase & Chuck wait to meet Chuck's dad; Julian finds a note about the incident on his car; Quinn & Clay talk while playing with Lydia & Jamie.
55,"No Light, No Light",Florence + the Machine,End of the episode: Brooke reads the note Julian found & finds out it's from Tara; Julian picks a fight at the bar & gets beaten up; Brooke trashes Tara's café; Haley confronts Dan & calls the cops.
56,Black Eyes,Radical Face,Beginning of the episode: Millie & Mouth are doing their morning show while Brooke watches on tv; Brooke sees Julian's black eye; Haley questions where Nathan is; Dan is getting interrogated.
57,We Are the Tide,Blind Pilot,Chase & Tara wake up after their one night stand; Chris arrives at the loft when Tara is in the shower; Clay & Logan are talking while they read X-Men comic books.
