,Song,Artist,Scene Description
0,All In a Day,The Open Sea,Julian & Brooke kiss good morning; Quinn & Clay make out on the beach.
1,Happy,The Daylights,Mia & Chase discuss his relationship with Alex; Jamie asks his parents about sex again; Brooke asks Millie why she & Victoria lied to their investors.
2,I'll Do Better,Jarrod Gorbel,"Haley drops by to tell Brooke that she's pregnant; Chase tells Alex about Mia's text, then Alex offers to bartend"
3,Stick to Your Guns,"Onward, Soldiers",Jamie asks his mom about sex; Chase shows up at the studio to talk with Mia; Brooke sits in an interview room at the police station; Julian phones Victoria; Nathan & Haley are both examined by a docto
4,The Search,Setting Fires,Haley writes a letter to Lucas; Chase agrees to go out with Alex just before receiving a text from Mia saying she made a mistake breaking up with him
5,There's A Light,Jay Malinowski,Nathan & Haley cuddle in bed & she says she's feeling like herself again
6,We Did It When We Were Young,The Gaslight Anthem,Nathan gets Haley to promise to visit him as often as possible; Chase teaches Alex bar tricks
7,I Don't Want to Be,Kate Voegele,Opening Credits
8,Tightrope,Joy Williams,Mouth and Millie talk about the Clothes Over Bros problems.  Victoria tells Brooke that she only lied to the investors because she believed Brooke would turn around the business.
9,Hope A Little Harder,Amy Kuney,Brooke talks to Haley at the hospital.  Mia tells Chase why she broke up with him.
10,All Things New,Grayson Kessenich,Clay and Quinn at the beach; he tells her she has to leave him.  Jamie tells Quinn he loves her and gives her the treasure hunt gold star.
11,Belong,Cary Brothers,Haley tries to call Brooke. Brooke is angry with Millie and Victoria.  Haley gets Mia to pick up Jamie.
12,Body Shots (At The Bar),Kaci Battaglia,Alex sells test tube shots to her fans at Tric.
13,Can't Take My Eyes Off You,Cary Brothers,Quinn tells Clay that she doesn't want to die.  Nate arrives at the hospital.
14,Home (feat. Jesse Carmichael),Ry Cuming,"Clay tells Quinn to trust him and makes him promise that he'll come back; Clay promises her that they will live a long, happy life together and tells her to open her eyes; Quinn wakes up."
15,I'm The Man,Name Brand,Julian and Jamie at the batting cages.
16,Just Breathe,Pearl Jam,Jamie learns about Quinn being in the hospital.  Nate and Haley by Quinn and Clay in their hospital beds.  Camera rotates around Quinn in the garden.  Julian takes Jamie to the hospital.
17,Music to Drive and Cry to,Endochine,Other Clay and Quinn try to remember what happened at the beach house.
18,Semi Automatic,The Boxer Rebellion,"Beginning, while Haley writes to Lucas, Brooke talks to the lawyer, Alex and Chase at Tric."
19,This Is Something,Kevin and The Octaves,Mouth learns that Alex got his job at Tric.  Jamie and Julian play air hockey.
20,This Time Tomorrow,Trent Dabbs,Nate talks to Clay in his hospital bed.  Haley remembers her childhood with Quinn.
21,I Don't Want To Be,Fall Out Boy,Opening Credits
22,Pray You Through,Sixteen Cities,Brooke doesn't want Victoria to go to prison.  Jamie makes a plan for when Clay wakes up.  Quinn tells Clay about her idea of heaven.  Clay tells Will about Sarah.
23,All The Way,Carolyne Neuman,Clay checks on Quinn.  Nathan talks with Jamie about donating his kidney and not playing basketball.  Haley takes Quinn to see Clay in his hospital room.
