,Song,Artist,Scene Description
0,Mercy,Black Rebel Motorcycle Club,"Opening, season four flashback montage."
1,Light Up the Sky,Yellowcard,First look at Peyton and Brooke.
2,American Beauty,Salme Dahlstrom,At the record label meeting.
3,I'll Be - New Album Version,Low vs Diamond,Peyton plays a song for her boss.
4,Steal Me,Jupiter Sunrise,Lucas tries to write.
5,You Got What It Takes,Selectracks,(Flashback) Haley leaves Nathan and Lucas at Nathan's shoe launch party.
6,Irvine,Kelly Clarkson,Brooke fires one of her employees.
7,What U Gonna Do,Lil Coe / Northstar,Peyton talks to her boss about her job.
8,Slow Show,The National,Brook is interviewed at an event by a reporter.
9,Come Undone,Jackson Waters,"Montage, Peyton is upset."
10,Green Gloves,The National,Peyton arrives back to Tree Hill.
11,Fake Empire,The National,Peyton is at the river court. Haley talks to Jamie about Nathan
12,The Freshmen,The Verve Pipe,"Near the end, Peyton and Brooke reunite; Jamie gives Nathan a picture, and they hug."
13,Center of Attention,Jackson Waters,Add scene description
14,What You Gone Do,Coe 24K,"Peyton meeting with her boss at the record label, ""What You Gone Do"" was playing in the background"
15,Ripe,Ben Lee,"Opening, Brooke accidentally startles Lindsey."
16,Forgive Me,Group 1 Crew,"(Flashback) Lucas invites Peyton to his book signing. (Present) During tryouts, the potential new Tree Hill Ravens do drills for Lucas and Skillz."
17,Neverlost,Smashing Pumpkins,Jamie shows Brooke his soapbox car. Lucas and Skillz continue Raven tryouts.
18,Gotta Be Somebody's Blues,Jimmy Eat World,Lucas and Peyton flashback after Brooke asks Peyton what happened between them.
19,Thank You,The Little Heroes,"Brooke rushes to pick up Jamie, only to find out that Haley dropped him off at the apartment."
20,Lawman,Belasco,Brooke and Peyton visit with Nathan and Haley.
21,Bringa (feat. Apl.de.Ap & Nfa),Channel Two,"Brooke, Peyton and Haley have girls night at TRIC."
22,DJ Make It Boom Loud (ft. Timna),Richard Wolf,"At Tric, Brooke, Peyton and Haley on the dancefloor"
