,Song,Artist,Scene Description
0,See Me,Rob Giles,Beginning of the episode.
1,Empty Apartment,Yellowcard,"Keith is at the beach with Lucas, he gets the call about Dan's heart attack. Karen closes the cafe. Peyton is putting her drawing of Jake and Jenny to the wall, Brooke comes to meet her."
2,Take Your Mama,Scissor Sisters,Brooke and Peyton getting on the boat.
3,She Will Be Loved,Maroon 5,It's raining and Nathan asks Haley to marry him
4,Silence,Gomez,Brooke and Peyton are on the boat. Brooke flashes a group of guys.
5,Just As Well,Emily Sparks,"Brooke and Peyton on dock, Haley talks to Karen at cafe"
6,Lie In the Sound,Trespassers William,"End montage. Lucas comes back to Tree Hill; Brooke and Peyton are at the beach;
Naley's wedding on the beach."
7,My Heart,The Perishers,"Opening, Lucas lies on the ground at the river court, listening to his iPod."
8,Float On,Modest Mouse,Brooke and Peyton discuss Haley's reasons for marrying Nathan. Brooke signs Peyton up to LustFactor.com.
9,"""Life Is Good""",Junk,Haley and Lucas talk about her marrying Nathan. Brooke takes pictures of Peyton.
10,Make it up to You,Bosshouse,Brooke demonstrates her chair game to everyone setting up for the party.
11,Louque,Art,Peyton gets mad that Brooke posted pictures of her butt online at LustFactor.com
12,Cooper Moon,Tom Freund,Haley's parents comfort her while she sobs over her confrontation with Deb. Keith stops by Karen's house to return Lucas' iPod.
13,Watching Rainbows,The Badge,Brooke takes pictures of Peyton in the shower to post on LustFactor.com.
14,Headsprung,LL Cool J,Lucas takes pictures at the party. Nathan and Haley arrive at their reception.
15,"Hip Hop, Don't Stop",The Cobalt Party Revolution,Deb arrives at the party. Peyton meets a guy from Lust Factor
16,Mirror,Erica C.,Haley's parents tell her and Nathan that they're leaving town and selling the house.
17,Real Love,Toby Lightman,"Whitey brings Nathan and Haley a baby blanket. Haley confronts Brooke on the ""pregnancy issue."
18,The Distance,Coby Brown,"Peyton and Brooke tell Lucas what they did with the letter. Keith tells Karen he;s staying in town, Nate introduces Haley's parents to Deb"
19,Everybody's Changing,Keane,End montage.
20,Mirror,Erica Lane,Add scene description
21,Bridge and Tunnel,The Honorary Title,"Haley, Peyton, Brooke, Tim, and Nate in apartment"
22,Satellite,Junk,Nate and Tim in apartment talk about stripper
23,Keep Your Receipt,The Cobalt Party Revolution,The gang is sitting around discussing plans for the bachelor party.
24,Kill,Jimmy Eat World,End of the episode
25,C'mon,Go Betty Go,"Peyton, Brooke, and Haley in party bus"
26,Mirror,Erica Rose,Brooke's credit cards don't work at the strip club. The stripper shows up at Naley's apartment and tries to seduce Nathan.
27,Word Up!,Korn,Girls in lingerie store
28,Bad Habits,Michael Tolcher,Luke and Nate talk after bachelor party
29,Shake Dat Sh**,"Shawnna, Ludacris",The girls party in the limo and give Haley a fake I.D.
30,Bang Stranger,MC G-Nutz,"The ""mechanic""/ male stripper dances for the girls. Tim gets arrested."
31,Let's Get It Started (Spike Mix),Black Eyed Peas,The girls party in the limo with the male stripper
32,Fit But You Know It,The Streets,Nate's bacheor party sees Haley partying out of the moon roof
33,Mirror,Erica C.,"Girls at strip club, stripper arrives at apartment (only Nathan is there)"
34,Roll With Dub,Double Owe,Brooke reviews the bill and since she can't pay -- she ask the owner for an alternate payment plan.
35,Angel,Lo-Tel,Brooke sees Felix (pool boy) in her pool naked
36,Fire At Will,The Other Guys,Peyton stops by the cafe to talk to Karen.
37,Ever After,The Other Guys,Lucas overhears Deb talking to Karen about how Dan is doing.
38,13 States,Michael Meanwhile,"Brooke talks to Felix at school, he took her parking spot"
39,Big Days,PMG,Peyton tries on clothes at the lingerie shop.
40,There's Something Better,Hathaway,"Peyton comes to talk to Brooke, Brooke tells Peyton she's broke"
41,At the Speed of a Yellow Bullet,Head Automatica,Lucas and Dan race Felix
42,Raise Your Hands,PMG,Brooke tries to steal a bra from the lingerie shop.
43,All I Want from You Is Love,Let's Go Sailing,Dan and Deb
44,Sway,The Perishers,"Peyton and Karen start Tric, Andy comes to Cafe, Brooke swims in Felix's pool."
45,Endless Shovel,Rogue Wave,Karen visits Andy
46,16 Below,Light FM,"Felix, Brooke, Haley, Peyton, Tim, Nathan, Lucas, Skills, Mouth and Fergie all get envelopes in their lockers; they meet up at the cafe."
47,Welcome to the Movement,Dee,"The gang meets up at the mall to get started with ""Dare Night."""
48,The Keys To Life Vs. 15 Minutes of Fame,Atmosphere,Lucas is seen by mall cop
49,Everything Is,Nectar,Tim and Nate get the special
50,Funny Little Feeling,Rock 'n' Roll Soldiers,"Heard during a montage of scenes of the gang doing their dares.
Lucas returns clothes, Brooke/Felix dine and dash, Boy's at batting cages"
51,Good Time,Walkie Talkie,Anna and Lucas talk in the her car.
52,I'm Sorry,Black Toast,Brooke meets back up with Felix at the café.
53,Baby Got Back,Lee Norris/Mouth,Mouth sings Sir Mix-A-Lot's Baby Got Back (1992) karaoke on dare night.
54,Somersault,"Zero 7, Sia","Lucas and Anna talk, then take pictures in a photo booth at an arcade."
55,Collide (Chris Lord-Alge Mix aka Radio Edit),Howie Day,"Moments after dare night, boy's with turtle, Tim/Nate/Haley apartment, Felix drops Brooke off"
56,Dare You to Move,Switchfoot,Lucas walks Anna to her car.
57,Hey Sugar,D'Lovely,The gang meets back up with each other at the end of the night at the cafe.
58,Waiting for the Sun,The Shore,Lucas is throwing the coins back into the fountain
59,The Wind Blew All Around Me,Mary Lou Lord,Peyton and Chris at the store
60,Alive & Amplified,The Mooney Suzuki,Brooke and Felix hook up in the school's janitor closet.
61,Stay With Me Tonight,Wonderlife,Anna goes to talk to Lucas at the river court.
62,Glad,Tyler Hilton,Chris auditions at Tric
63,Sun & Stars,Michael Meanwhile,Karen and Andy take a walk in his garden. Brooke and Felix talk in her bedroom and Whitey looks at the picture from his 500th win
64,So Beautiful (Single Version),Pete Murray,everyone is watching the stars
65,Mid November,Johnathan Rice,End of episode
66,You're at the top (Hit List),High City Miles,Peyton goes by the CD store to ask Chris if he'll perform at the club.
67,Hey Emma Lou,Brett Walker,"Peyton and Haley run into a ""charitable"" Brooke at school."
68,On to you,Day and Night,Keith calls Jules to ask her out on a date.
69,Anything for You,Luther Russell,Dan stops by the café to apologize to Karen.
70,All the Time,D Note,"Brooke goes shopping with Haley for a dress to wear to the opening of Karen and Peyton's all-ages club, TRIC."
71,Alive & Amplified,The Mooney Suzuki,The opening of the club TRIC.
72,Walkie Talkie Man,Steriogram,Haley freaks out about performing at the club. Andy finally meets Lucas.
73,The Death of American Radio,Radio 4,Keith introduces Deb to his girlfriend Jules.
74,Dance Floor,Star,People dance at the club.
75,Let Me Fall,Bethany Joy Lenz,Haley performs her song at TRIC.
76,Stop the World,Riddlin' Kids,Lucas and Felix get into a fist fight.
77,Just a Lonely Boy,Lazy Stars,Karen talks to Andy before closing up for the night at the club.
78,Proof,I Am Kloot,Ending montage.
79,Sparkle Me,Buffseeds,"Haley, Brooke and Peyton apologizing to each other"
80,Fireball,Paul Trudeau,Felix and Brooke sneak over to her house early in the morning to hook-up.
81,Did I Lose You There?,Silver,Chris ask Haley if she wants to come to the studio and record some tracks.  yey hello yo
82,When the Stars Go Blue,"Bethany Joy Lenz, Tyler Hilton",Haley and Chris Kellers duet.
83,Time Keeps Turning,The Vents,Keith and Jules run into Karen and Andy at a restaurant.
84,Give It Up,Midtown,When Nathan and Lucas are watching the basketball game.
85,Gone to Earth,The American Analog Set,The girls have a slumber party at Nathan and Haley's apartment.
86,No Reason,Sum 41,"Girl's sleepover, pillow fight."
87,Every Ship Must Sail Away,Blue Merle,Ending montage of scenes.
