,Song,Artist,Scene Description
0,Feeling a Moment,Feeder,Beginning of the episode during the dealership fire. Haley returns home to be with Nathan.
1,This Side Of Heaven,Matthew Ryan,Peyton and Lucas talk in Peyton's room.
2,The Rhythm of Your Breathing,Trembling Blue Stars,"Brooke and Lucas discuss their ""nonexclusive relationship""."
3,Nobody's Darlings,Lucero,"In a flashback from the beginning of the summer, in which Lucas and Peyton hang out in her room."
4,Light Years Away (Album Version),MoZella,Peyton and her father visit her mother's grave and talk about her real parents. Haley has a flashback to when she talked to Nathan the night before he left for camp.
5,Simple As It Should Be,Tristan Prettyman,Brooke and Mouth discuss Mouth's break-up and Brooke's nonexclusive relationship with Lucas.
6,Stars and Boulevards,Augustana,Peyton's father talks to her about her mother.
7,She's Adorable,Leif Karate,Deb and Karen reunite in the cafe.
8,Elsewhere,Bethany Joy Lenz,Haley is in the cafe and has a flashback to when she first sang to Nathan. Nathan scores at High Flyers. Haley visits Nathan in his bedroom and he says he stills loves her and he always will.
9,All Eternal Things,Trembling Blue Stars,Deb hands Dan divorce papers; Brooke asks Haley to move in; Luke tells Peyton that Ellie is back; Nathan reads Haley's letter while at High Flyers; Dan goes to church to confess.
10,Street Map,Athlete,Ending CODA/Peyton voiceover
11,Ride,Faraci,Lucas and Nathan battle on the Rivercourt.
12,Waiting for Sunday,Michelle Featherstone,Brooke and Lucas talk about their relationship while they put together the bonfire at the beach. Lucas visits Karen at the cafe.
13,In N' Out,Kingstreet,End of Summer beach party. Tim asks Brooke if they can start burning things for the bonfire.
14,You Light Up My Life,Debby Boone,Dan and Karen talk in the cafe.
15,Bela Lugosi's Dead,Bauhaus,Lucas tells peyton thay he saw ellie buying drugs.
16,We Are All On Drugs,Weezer,"Brooke tells Peyton to play more upbeat music. She does, then walks away. Everybody starts dancing."
17,"Sugar, We're Goin Down",Fall Out Boy,Lucas watches Brooke skinny dip with other people; Nathan throws Tim's guitar into the bonfire.
18,When the Stars Go Blue,"Bethany Joy Lenz, Tyler Hilton","At the beach party; Haley approaches Peyton, who proceeds to play this song out of spite."
19,Move Along,The All-American Rejects,"Lucas tell Brooke he's ""the guy for her"" while at the beach party."
20,Movin' On,Mya,Add scene description
21,Break Your Mama's Back,Slow Runner,After Keith's death; Beginning of the school party.
22,The Leavers Dance,The Veils,The beginning of the episode; Lucas is opening the prediction box and Haley comes to talk to him.
23,Illuminate,Radius,Add scene description
24,Bought and Sold,Christopher Jak,Add scene description
25,Moonlight On Snow,Trembling Blue Stars,Peyton talking on the bench by the traffic light with her dad.
26,This Is for Keeps,The Spill Canvas,Brooke orders Pizza with Lucas and Haley. Nathan and Haley go for a walk and Brooke teases Lucas.
27,Always Love,Nada Surf,The end of episode.
28,Invincible,OK Go,Lucas tries on costumes with Haley.
29,If I Handle You With Care,Trembling Blue Stars,Peyton and her dad talking in her room.
30,Trondheim,Tom Freund,Haley sees Lucas steal money from the cafe and Larry goes to talk to Ellie
31,More of the Shame,Buddy,"Peyton tying her shoes in the ""angel of death"" costume."
32,Bombs Away,Paris Texas,Brooke and Haley arrive at the halloween party and they come across Mouth
33,"Girls, Girls, Girls",Mötley Crüe,Nathan enters in a Batman costume.
34,She's a Sexy Thing,Andromeda,Karen ask Haley if she took money from the cafe.
35,I Wanna Move You,Erica C.,"Haley takes over the tray with glasses from Karen and fall down, Nathan comes in to rescue her, Mouth and Peyton talk"
36,Disco Inferno (Re-Recording),The Trammps,Mouth and Peyton dance.
37,"Dance, Dance",Fall Out Boy,Fall Out Boy performs this song live at Tric.
38,In Your Head,Rob Grad,"Chris meets with Nathan, and he agrees to help Haley with her music."
39,Empty Room,Marjorie Fair,Haley tells Brooke to be careful with Lucas his heart is more fragile than she thinks; Peyton talks to her father; Ellie sketches Peyton in her costume; Chris smirks upon seeing his Batman costume.
40,TKO,Le Tigre,Played for the Ravens' Cheerleaders routine at 'Midnight Madness'.
41,Play,David Banner,New student Rachel auditions for Peyton and Brooke for a spot on the Ravens' Cheerleading Squad.
42,All Over,The Obscurities,"The Tree Hill Ravens basketball team bust out onto the basketball court, while fighting, during their introduction by Dan Scott for 'Midnight Madness'."
43,Silver Sparkler,The Jim Yoshii Pile-Up,"Haley is at the record store looking at Chris Keller's CD, when he appears next to her."
44,There She Goes,Radius,"Peyton makes a sketch of Ellie, and gives it to her while asking her to leave. (This is incorrect. Actual song is by Schuller -Sleeping Song)"
45,Sleeping Song,Sébastien Schuller,"Peyton gives a sketch she made to Ellie, and tells her to leave town."
46,Body 21,Morningwood,The Ravens' cheerleaders and basketball team get ready for the opening game.
47,"Rock and Roll, Pt. 2",Gary Glitter,Whitey Durham announces Karen Roe is running against Dan Scott in the upcoming mayoral election.
48,Vila Rada,Nikola Sarcevic,End of episode.
49,1,Joy Zipper,"At school, Haley waits for Nathan."
50,Coming Back To You,Black Toast,Karen shows Deb the new signs for her mayoral campaign.
51,Shadowland,Youth Group,The squad watches the boys practice.
52,Please Please Please,Shout Out Louds,"In the gym, Lucas runs alone. Peyton sketches while Brooke scouts potential picks for the upcoming ""Fantasy Boy Draft""."
53,Vaguely Happy People,Tommy Fields,Haley and Lucas talk.
54,On Lavender Hill,The Real Tuesday Weld,"At the cafe, Chris and Haley talk."
55,Premonition,Careen,Dan visits Karen's Cafe to bother Karen.
56,Sweet Troubled Soul,Stellastarr*,"The team trains in the gym; Lucas sits out. Bevin, Haley, and Peyton talk about the ""Fantasy Boy Draft""."
