,Song,Artist,Scene Description
0,Matching Weight,Trespassers William,"Beginning, Cooper and Rachel in the limo."
1,Wrong Choice,The Lovely Feathers,"Peyton is burning all her pictures with Brooke and remembers how Brooke reacted when she told her, she still had feelings for Lucas."
2,Don't Wait,Dashboard Confessional,Deb is tempted to take pills and Dan is painting over the murder sign
3,Everything'll Be Alright (Will's Lullaby),Joshua Radin,Rachel asks Brooke if it is possible if people can change.
4,Within You,Ray LaMontagne,When Brooke and Lucas break up
5,A Message,Coldplay,The end of the episode
6,Currents,Dashboard Confessional,Beginning.
7,No Turning Back,Tom Freund,"Nathan visits Cooper at the hospital, they are talking about what happened at the bridge. Peyton calls Derek, he tells her not to call again."
8,Le Disko,Shiny Toy Guns,Brooke and Rachel are at the club for Brooke's 18th birthday.
9,The Way You Do,Five Times August,Rachel gives Brooke her secondhand death flowers.
10,One More Night - (Your Ex-Lover Remains Dead),Stars,Deb's antics turn dangerous at the café. Dan watches a campaign video.
11,Westgate,Buddy,Peyton is making a podcast about her brother Derek. Haley and Karen talk about being pregnant at 17.
12,Born On the Cusp,The American Analog Set,"Peyton and Lucas are in Peyton's car, talking about what Nathan saw during the accident."
13,The Man Who Told Everything,Doves,End montage.
14,Way Back Home,The Wreckers,Lucas and Peyton are talking about her brother Derek.
15,Play Hurt,The American Analog Set,"Before the game, Lucas and Skills sit on the benches at the basketball court."
16,Point of View,Little Humans,"Lucas talks to Brook outside of school, offering to exchange his lunch with her."
17,Post Blue,Placebo,Basketball scene. Nathan is shooting his free throws and misses one.
18,Keep It Comin',Black Toast,"During the game, Skills joins for the first time."
19,The Queen and I,Gym Class Heroes,Skills and Bevin play beer pong while Nathan and Haley arrive to the party.
20,Walk the Moon,Belasco,At the post game party when a drunk Mouth talks to Lucas.
21,Goodnight,La Rocca,Party. Nathan and Rachel start talking.
22,Won't Back Down,Mat Kearney,Nathan and Haley talk in bed about the river and Rachel.
23,Calendar Girl,Stars,"Peyton and Derek are talking in her room, and she offer Ellie's drawing to Derek."
24,Cool Kids Keep,The American Analog Set,"Beginning, Luke wakes up. Haley wakes up to find Nate working out. Brooke finds the pamphlets Rachel put out."
25,Post Blue,Placebo,Rachel arrives at her photoshoot. Nathan crashes on the motorcycle.
26,Back Together,Citizen Cope,Brooke and Haley talk about her baby in the locker room.
27,Allison,Jeremy Kushnier,Derek tells Peyton that she looks beautiful. Peyton tells Derek that Brooke and Lucas are done.
28,Everybody in Da House,Selectracks,Rachel and Nathan talk at TRIC about the crash.
29,Downtime,Dr. Caligari,Deb turns things around on Karen.
