,Song,Artist,Scene Description
0,Feel This (feat. Enation),Bethany Joy Galeotti,Season 5 recap; Haley in the studio; (repeats) End montage.
1,Lovers In Japan / Reign of Love,Coldplay,"Opening scenes. Lucas dreams of being married to Brooke, Peyton, and Lindsey."
2,Town Where You Belong,Earlimart,Skillz and Deb make out in her car. Mouth tells Milly he quit his job.
3,Look At You,My Morning Jacket,Lucas and his dream girl arrive at their Las Vegas hotel room.
4,Highly Suspicious,My Morning Jacket,Brooke arrives at Clothes Over Bro's and vents to Milly about Victoria.
5,In the Ayer (feat. will.i.am),Flo Rida,Quentin teaches Jamie some dance steps with the rest of the Ravens at practice; (repeats) Jamie and Haley are dancing
6,Burning Love,Elvis Presley,[Live cover version] Performed by Vegas chapel organist.
7,I Should Be Lost Without You,David Condos,Mouth says goodbye to Brooke.
8,Poke,Frightened Rabbit,"Montage, Brooke tells Milly to go with Mouth; Lucas and Peyton at their old hotel room in Los Angeles; Nathan and Quentin practice at the gym."
9,Violet Hill,Coldplay,End montage; Brooke leaves Victoria a voicemail; Carrie reveals her plan to Dan; Lucas proposes to Peyton; Brooke is attacked.
10,Coming to Terms,Carolina Liar,Season 6 Promo.
11,Forevermore,Katie Herzig,"Opening, Jamie jumps on his bed; Lucas and Peyton jump on their bed."
12,Shameless,The Fratellis,"Nathan joins the Ravens for a ""Shirts vs Skins"" practice."
13,How Do You Dream,9 Ball,Skillz asks Nathan for some relationship advice; Haley talks to Quentin about his progress in her class and what he wants in life.
14,Changin',Vince Vaccaro,Brooke doesn't believe in karma.
15,Left Alone,Vince Vaccaro,Dan tells Carrie her plan sucks.
16,When You Are Near,Carolina Liar,Nathan and Haley talk at the river court; Peyton officially moves out.
17,Face Down In the Right Town,Earlimart,End montage.
18,A Brittle Filament,The One AM Radio,"Beginning of episode, Sam talks about Quentin."
19,Some Streets Lead Nowhere,Matthew Ryan,"Brooke asks Peyton for the key to her house back. Everybody meets Q's mom, and she thanks them."
20,Feels Like Letting Go,Matthew Perryman Jones,Lucas and Skills talk about Q.
21,Small Things,The Audreys,Haley and Nathan talk about funerals; Haley tells Brooke about a therapist.
22,Shine Your Light On Us,Robbie Seay Band,People place flowers on Q's memorial. Haley tells Nathan she can't explain this to her students.
23,Memories (All We Need),The Sequel,Haley tells her students to write an essay about Quentin.
24,Further to Fall,Dan Craig,Peyton and Lucas talk about the team and marriage while getting ready for Q's funeral service. Nathan stops by Brooke's house to offer advice.
25,Quiet in My Town,Civil Twilight,"Montage; Q's funeral, the Ravens pay their respects. Jamie puts a cape on top of Q’s casket. Nanny Carrie visits her son's grave."
26,Paris,La Rocca,"At the beginning, Nathan, Lucas, Skills, Jamie and Haley remember Q"
27,Mick in my Studio,John Doe,Brooke leaves New York and heads back to Tree Hill to go back to her family
28,More Than Life,Whitley,Psychotic Nanny and Deb at the playground
29,Matinee,Hurts to Purr,Jamie and Haley go to see Dan. Deb breaks up with Skills.
30,A Children's Crusade On Acid,Margot & The Nuclear So and So's,"Lucas goes to Quentin's house to check on his mother and brother, continues through Sam getting in a fight at school and Haley breaks it up, tries to talk to Sam."
31,Said and Done,Meiko,Peyton talks to Mick about her mother and father.
32,This is Your Life - New Album Version,Low vs Diamond,Lucas and Quentin's mother talk to the team before their first game without Q.
33,Scream,Chris Cornell,End montage.
34,How Would You Like It,Jem,Teaser. Carrie digs a grave; Peyton watches Lucas sleep; Nathan practices; Brooke at the Clothes Over Bro's store.
35,Moving Ground,Mezzanine Owls,Peyton asks Brooke to design her wedding dress.
36,Heartbeats,Adios Control,Sam tries to return Brooke's gift at Clothes Over Bro's.
37,Orphans,Jack's Mannequin,Peyton talks to Mick while he plays the guitar. Nathan meets the general manager for the D-league. Haley talks to Carrie on the phone.
38,Running Down,Michelle Featherstone,Haley and Deb talk about Dan. Mick asks Peyton for her 5 favorite albums. Brooke talks with her psychologist.
39,They Bring Me to You,Joshua Radin,Peyton invites Mick to dinner. Peyton calls Lucas.; Lucas asks to make some changes to his book tour schedule.
40,Alison,Elvis Costello,Peyton waits for Mick
41,Capsule,Turin Brakes,Brooke talks with her therapist. Nathan doesn't make his final decision without talking to Haley and Jamie. Lucas tells Lindsey he's marrying Peyton.
42,No Envy No Fear,Joshua Radin,Brooke talks to her therapist; Nathan says he has to talk about the job offer with his family.
43,If I Am A Stranger,Ryan Adams & The Cardinals,End montage.
44,Half Speed,La Rocca,Teaser. Opening scene.
45,Dreamers,Jack Savoretti,Milly makes a list of things for Brooke. Nathan and Skillz practice. Peyton finds Mick passed out at the recording studio.
46,Baby Doll,The Fratellis,Dan picks Jamie up from school. Deb and Dan have it out at the riverwalk. Brooke and Milly eat at the store. Lucas arrives in Omaha.
47,Good Arms vs Bad Arms,Frightened Rabbit,Lucas at the book signing meeting Mouth. Also Brooke and Haley chat about fostering a child in the store.
48,Who Ya Think Ya Are,Bosshouse,"Nathan, Skillz, and Jamie check out Slamball."
49,It Ends Here,Matt Pryor,Nathan thinks about playing slam ball; Peyton and Brooke talk.
50,Storm,Adrianne,Brooke bakes cookies with Peyton.
51,Quiet Times,Dido,"Millie and Mouth video chat when Brooke gives Millie cookies, Mouths broadcast. Peyton calls Lucas."
52,They Bring Me to You,Joshua Radin,Brooke offers Sam a room in her home.; Mick tells Peyton about Ellie's past.
53,Hearts in Pain,Stephen Kellogg & The Sixers,End montage.
54,Long Gone,Chris Cornell,Teaser. Opening montage.
