,Song,Artist,Scene Description
0,Drift,Forty Foot Echo,Beginning of the episode; Peyton is driving and listening to music.
1,24'S,T.I.,The Ravens steal a school bus after they won the game. Nathan kisses a girl while driving and they nearly crash into a train.
2,Hands Down,Dashboard Confessional,"Peyton is driving; she turns around to search for a CD in the backseat, and as a result nearly hits Lucas."
3,Farewell Transmission,Songs: Ohia,"(0:09) Whitey's radio, Keith knocks on the door to his office. After Karen and Haley give Lucas a Julius Caeser book."
4,Never Enough,Bosshouse,(0:07) In Peyton's car when she drives past the Rivercourt. Junk asks the rest of the guys if they have seen her webcam.
5,Your Boyfriend Sucks (Live),The Ataris,"Peyton is on her computer, listening to music; Nathan enters; he tells her ''no one listens to this crap."""
6,Money Bags,Runaway Cab,Nathan and Tim are in Nathan's kitchen but they leave to go to the Rivercourt to talk to Lucas.
7,Aftertaste,Ben Lee,Lucas tells Nathan what time to be at the Rivercourt for their one-on-one game.
8,Are You Gonna Be My Girl,Jet,Lucas and Nathan get ready for the one-on-one game at the River Court. Mouth and Jimmy begin their podcast while Lucas practices. Nathan tells Peyton what Lucas gets if Lucas wins (her).
9,Lapdance,"N.E.R.D., Vita, Lee Harvey","Nathan arrives at the River Court; Tim drives, and Peyton is in the backseat."
10,What It Is to Burn (New Version),Finch,"During the one-on-one game; Nathan elbows Lucas in the face, and Lucas says ''No foul. Basket counts.''"
11,What It Is to Burn (Demo Version),Finch,Match one on one Lucas vs Nathan
12,Rest In Pieces,Saliva,Lucas makes the winning shot in the one-on-one game against Nathan.
13,Ez,Pete Yorn,Lucas wins the one-on-one game against Nathan and recites a speech to tell Peyton that he'll be seeing her.
14,Overdue,The Get Up Kids,Opening scene
15,Switchback,Celldweller,At the basketball game and Lucas isn't playing well
16,Hard to Find,The American Analog Set,Nathan and Peyton make out in his SUV
17,Beside Me,Forty Foot Echo,Dan talks to Nathan about making more shots in the game
18,To Hell with Good Intentions,Mclusky,Nathan calls to apologize to Peyton.
19,She's got it so Phat,Bosshouse,Peyton and Brooke talk while listening to music in Peyton's room.
20,Echo,Vertical Horizon,"Mr. Kelly reads the ""one word"" answer cards+ Peyton, Nathan and Lucas montage."
21,Further,Long-View,Lucas decides to play in the game
22,Belief (Stripped Version),Gavin DeGraw,"Ending, Lucas' monologue"
23,You Own Me,Sense Field,Opening scenes - Basketball game.
24,Glad to Be Alive,Low Flying Owls,Peyton is drawing in her room when she gets a call from THUD Magazine.
25,Apologies,Bosshouse,Peyton has an interview with THUD Magazine.
26,How Good It Can Be,The 88,Brooke is getting her legs waxed while talking to Peyton about boyfriends.
27,Shoulder,Cactus Groove,"Nathan calls the café looking for Haley. Karen offers her ""two cents""."
28,hang,mojo monkeys,Jake stops by Keith's Body Shop to talk to Lucas about the team hazing him.
29,Silence Is Easy,Starsailor,Peyton finds the art in her locker. Karen at the café. Haley and Nathan in class. Lucas at the rivercourt. Nathan at practice. Haley at the movies.
30,Multiply,Forty Foot Echo,Nathan and the team pull Lucas out of the van and throw him in the swamp.
31,Stones,Pete Francis,"Haley goes to Nathan's house to tell him, she'll tutor him"
32,You Dance,Eastmountainsouth,Ending.
33,Freetime,Kenna,Brooke and Peyton arrive at Nathan's party followed by Lucas and Haley. Song playing when they all enter Nathan's beach house.
34,Hopes and Dreams,Buva,"Everyone plays a game of ""I Never""."
35,Taken For a Ride,AM Radio,Brooke and Peyton talk on the stairs during the party.
